nohup: ignoring input
wandb: Currently logged in as: tihuahu (tihuahu-nus). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/xulei/xulei/dataset-distillation/Epilepsy/wandb/run-20250531_230251-qbyx6vyg
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run CrossPatientValidation
wandb: ⭐️ View project at https://wandb.ai/tihuahu-nus/seizure-prediction
wandb: 🚀 View run at https://wandb.ai/tihuahu-nus/seizure-prediction/runs/qbyx6vyg

🔍 正在处理文件: data/features/chb01/features.npz

📂 Fold 1/5
Epoch 1/40 | Loss: 0.5219 | Train Acc: 0.7877 | Val Acc: 0.9499
Epoch 2/40 | Loss: 0.4316 | Train Acc: 0.8798 | Val Acc: 0.9519
Epoch 3/40 | Loss: 0.4197 | Train Acc: 0.8937 | Val Acc: 0.9547
Epoch 4/40 | Loss: 0.4146 | Train Acc: 0.8974 | Val Acc: 0.9539
Epoch 5/40 | Loss: 0.4141 | Train Acc: 0.8973 | Val Acc: 0.9547
Epoch 6/40 | Loss: 0.4091 | Train Acc: 0.9020 | Val Acc: 0.9571
Epoch 7/40 | Loss: 0.4104 | Train Acc: 0.9007 | Val Acc: 0.9551
Epoch 8/40 | Loss: 0.4081 | Train Acc: 0.9026 | Val Acc: 0.9559
Epoch 9/40 | Loss: 0.4063 | Train Acc: 0.9056 | Val Acc: 0.9551
Epoch 10/40 | Loss: 0.4063 | Train Acc: 0.9041 | Val Acc: 0.9547
Epoch 11/40 | Loss: 0.4058 | Train Acc: 0.9056 | Val Acc: 0.9567
Epoch 12/40 | Loss: 0.4038 | Train Acc: 0.9088 | Val Acc: 0.9587
Epoch 13/40 | Loss: 0.4063 | Train Acc: 0.9031 | Val Acc: 0.9551
Epoch 14/40 | Loss: 0.4080 | Train Acc: 0.9038 | Val Acc: 0.9551
Epoch 15/40 | Loss: 0.4056 | Train Acc: 0.9055 | Val Acc: 0.9571
Epoch 16/40 | Loss: 0.4039 | Train Acc: 0.9074 | Val Acc: 0.9559
Epoch 17/40 | Loss: 0.4040 | Train Acc: 0.9069 | Val Acc: 0.9559
Epoch 18/40 | Loss: 0.4054 | Train Acc: 0.9050 | Val Acc: 0.9575
Epoch 19/40 | Loss: 0.4042 | Train Acc: 0.9069 | Val Acc: 0.9571
Epoch 20/40 | Loss: 0.4047 | Train Acc: 0.9062 | Val Acc: 0.9559
Epoch 21/40 | Loss: 0.4032 | Train Acc: 0.9073 | Val Acc: 0.9567
Epoch 22/40 | Loss: 0.4042 | Train Acc: 0.9063 | Val Acc: 0.9571
🛑 Early stopping triggered.

📂 Fold 2/5
Epoch 1/40 | Loss: 0.5338 | Train Acc: 0.7760 | Val Acc: 0.9448
Epoch 2/40 | Loss: 0.4339 | Train Acc: 0.8789 | Val Acc: 0.9495
Epoch 3/40 | Loss: 0.4263 | Train Acc: 0.8854 | Val Acc: 0.9531
Epoch 4/40 | Loss: 0.4182 | Train Acc: 0.8914 | Val Acc: 0.9495
Epoch 5/40 | Loss: 0.4159 | Train Acc: 0.8951 | Val Acc: 0.9527
Epoch 6/40 | Loss: 0.4121 | Train Acc: 0.8990 | Val Acc: 0.9491
Epoch 7/40 | Loss: 0.4140 | Train Acc: 0.8971 | Val Acc: 0.9531
Epoch 8/40 | Loss: 0.4103 | Train Acc: 0.8995 | Val Acc: 0.9515
Epoch 9/40 | Loss: 0.4103 | Train Acc: 0.9001 | Val Acc: 0.9531
Epoch 10/40 | Loss: 0.4091 | Train Acc: 0.9003 | Val Acc: 0.9511
Epoch 11/40 | Loss: 0.4076 | Train Acc: 0.9034 | Val Acc: 0.9535
Epoch 12/40 | Loss: 0.4086 | Train Acc: 0.9021 | Val Acc: 0.9527
Epoch 13/40 | Loss: 0.4110 | Train Acc: 0.9006 | Val Acc: 0.9535
Epoch 14/40 | Loss: 0.4069 | Train Acc: 0.9048 | Val Acc: 0.9543
Epoch 15/40 | Loss: 0.4079 | Train Acc: 0.9019 | Val Acc: 0.9527
Epoch 16/40 | Loss: 0.4054 | Train Acc: 0.9041 | Val Acc: 0.9531
Epoch 17/40 | Loss: 0.4050 | Train Acc: 0.9061 | Val Acc: 0.9531
Epoch 18/40 | Loss: 0.4076 | Train Acc: 0.9046 | Val Acc: 0.9523
Epoch 19/40 | Loss: 0.4069 | Train Acc: 0.9036 | Val Acc: 0.9531
Epoch 20/40 | Loss: 0.4055 | Train Acc: 0.9062 | Val Acc: 0.9531
Epoch 21/40 | Loss: 0.4070 | Train Acc: 0.9056 | Val Acc: 0.9539
Epoch 22/40 | Loss: 0.4067 | Train Acc: 0.9059 | Val Acc: 0.9531
Epoch 23/40 | Loss: 0.4080 | Train Acc: 0.9029 | Val Acc: 0.9519
Epoch 24/40 | Loss: 0.4072 | Train Acc: 0.9034 | Val Acc: 0.9531
🛑 Early stopping triggered.

📂 Fold 3/5
Epoch 1/40 | Loss: 0.5255 | Train Acc: 0.7832 | Val Acc: 0.9559
Epoch 2/40 | Loss: 0.4271 | Train Acc: 0.8858 | Val Acc: 0.9567
Epoch 3/40 | Loss: 0.4187 | Train Acc: 0.8925 | Val Acc: 0.9543
Epoch 4/40 | Loss: 0.4137 | Train Acc: 0.8982 | Val Acc: 0.9567
Epoch 5/40 | Loss: 0.4126 | Train Acc: 0.8986 | Val Acc: 0.9579
Epoch 6/40 | Loss: 0.4103 | Train Acc: 0.8999 | Val Acc: 0.9575
Epoch 7/40 | Loss: 0.4091 | Train Acc: 0.9013 | Val Acc: 0.9599
Epoch 8/40 | Loss: 0.4087 | Train Acc: 0.9025 | Val Acc: 0.9583
Epoch 9/40 | Loss: 0.4079 | Train Acc: 0.9033 | Val Acc: 0.9587
Epoch 10/40 | Loss: 0.4063 | Train Acc: 0.9061 | Val Acc: 0.9583
Epoch 11/40 | Loss: 0.4047 | Train Acc: 0.9059 | Val Acc: 0.9591
Epoch 12/40 | Loss: 0.4083 | Train Acc: 0.9021 | Val Acc: 0.9591
Epoch 13/40 | Loss: 0.4064 | Train Acc: 0.9067 | Val Acc: 0.9595
Epoch 14/40 | Loss: 0.4077 | Train Acc: 0.9034 | Val Acc: 0.9583
Epoch 15/40 | Loss: 0.4055 | Train Acc: 0.9055 | Val Acc: 0.9583
Epoch 16/40 | Loss: 0.4054 | Train Acc: 0.9050 | Val Acc: 0.9591
Epoch 17/40 | Loss: 0.4060 | Train Acc: 0.9048 | Val Acc: 0.9599
🛑 Early stopping triggered.

📂 Fold 4/5
Epoch 1/40 | Loss: 0.5403 | Train Acc: 0.7670 | Val Acc: 0.9432
Epoch 2/40 | Loss: 0.4321 | Train Acc: 0.8816 | Val Acc: 0.9480
Epoch 3/40 | Loss: 0.4208 | Train Acc: 0.8917 | Val Acc: 0.9480
Epoch 4/40 | Loss: 0.4185 | Train Acc: 0.8940 | Val Acc: 0.9480
Epoch 5/40 | Loss: 0.4132 | Train Acc: 0.8969 | Val Acc: 0.9480
Epoch 6/40 | Loss: 0.4089 | Train Acc: 0.9040 | Val Acc: 0.9487
